,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
ACW,285.00,191.24M,11.40,0.57,0.27,6.15,6.15,0.09%,4.90%,3.61%,1.44%,722.05M,15.12,10.10%,73.48M,77.59M,0.01,N/A,17.57M,0.37,326.50M,"1,027.08",1.65,0.66,37.54M,26.68M,2.40,-17.73%,5.47,3.39,3.88,4.37,"169,939","176,850",47.93M,23.32%,61.50%,1.03M,5.70,N/A,N/A
ACRX,N/A,199.51M,N/A,N/A,36.53,4.71,-4.06,N/A,-749.65%,-28.23%,-63.59%,5.30M,0.12,90.50%,5.22M,-38.56M,-0.99,N/A,64.44M,1.45,25.14M,61.19,4.26,0.93,-35.07M,-23.32M,3.31,-30.23%,9.32,2.96,4.18,4.87,"609,788","554,425",44.34M,35.67%,57.10%,7.40M,12.60,N/A,N/A
ACET,27.73,711.30M,19.54,1.15,1.29,2.91,13.42,4.70%,8.55%,6.94%,10.96%,539.94M,18.87,16.80%,114.70M,57.71M,0.88,57.00%,35.54M,1.22,107.65M,44.79,2.31,8.26,18.53M,18.02M,1.42,33.42%,27.54,17.99,24.37,22.27,"157,158","110,050",29.12M,5.49%,73.60%,1.01M,6.10,1.00%,0.24
AKAO,N/A,125.09M,N/A,N/A,6.85,2.15,-3.02,-121.41%,-120.78%,-17.85%,-32.97%,18.86M,1.06,-18.50%,19.97M,-22.41M,-1.28,N/A,61.65M,3.42,0.00,N/A,9.10,3.33,-17.16M,-10.91M,N/A,-31.66%,14.19,5.30,6.68,8.01,"172,934","83,538",18.05M,N/A,N/A,477.91K,2.20,N/A,N/A
ACHN,N/A,893.45M,N/A,-0.63,N/A,3.42,-10.67,N/A,N/A,-21.23%,-35.69%,N/A,N/A,N/A,N/A,-72.05M,-0.71,N/A,253.24M,2.15,613.00K,0.23,19.64,2.26,-59.49M,-33.75M,2.08,0.13%,16.87,7.28,8.71,10.28,"3,114,460","1,866,910",117.56M,44.11%,58.60%,23.07M,9.60,N/A,N/A
ACIW,36.17,2.65B,28.00,2.91,2.58,4.59,16.41,7.12%,16.20%,6.10%,13.86%,1.03B,8.94,5.10%,561.39M,210.90M,0.63,N/A,68.46M,0.59,860.80M,149.13,1.01,4.95,182.94M,166.13M,0.86,19.37%,25.80,17.33,23.96,22.31,"644,795","862,138",116.75M,1.67%,98.50%,4.12M,6.20,N/A,N/A
ACU,13.10,60.35M,10.90,N/A,0.53,1.40,8.84,4.51%,7.12%,5.59%,12.50%,111.47M,33.84,1.70%,38.19M,9.92M,1.39,6.50%,1.94M,0.59,30.18M,70.95,4.14,12.89,N/A,N/A,0.70,8.92%,20.50,16.41,18.08,18.39,"3,753","2,038",3.32M,13.81%,38.50%,1.25K,0.50,2.00%,0.36
ACOR,97.13,1.38B,35.72,1.57,3.34,2.56,23.16,3.30%,12.24%,3.76%,2.78%,420.81M,10.16,24.00%,320.86M,61.93M,0.33,N/A,299.70M,7.01,291.81M,53.15,3.47,12.83,61.47M,59.49M,0.92,5.93%,45.45,28.52,34.09,34.39,"537,833","465,638",42.79M,2.00%,102.60%,6.60M,11.30,N/A,N/A
ACFN,N/A,5.03M,N/A,N/A,0.27,0.75,-1.17,-129.84%,-36.55%,-12.42%,-62.15%,19.72M,0.83,3.70%,6.64M,-6.62M,-1.08,N/A,2.10M,0.08,4.53M,125.60,1.07,0.27,-16.97M,-52.88K,2.63,-91.16%,2.25,0.15,0.34,0.47,"96,578","64,425",26.48M,11.85%,26.70%,362.05K,5.60,N/A,N/A
ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPW,N/A,44.13M,N/A,-1.00,0.90,2.64,-4.31,-20.48%,-19.18%,-15.45%,-46.99%,51.33M,2.22,20.00%,12.65M,-8.65M,-0.45,N/A,11.73M,0.51,5.53M,31.82,1.98,0.75,-5.92M,-2.39M,0.79,-16.96%,2.60,1.59,1.98,2.10,"64,488","66,050",23.11M,28.50%,26.50%,192.92K,4.00,N/A,N/A
ATVI,22.81,20.90B,18.57,2.01,4.56,2.88,13.40,20.46%,28.37%,5.94%,13.22%,4.58B,6.36,15.00%,2.88B,1.39B,1.26,34.50%,4.47B,6.16,4.08B,56.30,3.09,9.97,1.36B,1.15B,1.75,26.23%,29.20,17.73,25.75,24.00,"6,260,380","8,658,910",726.19M,30.65%,60.70%,44.65M,6.50,0.90%,0.23
ACTA,N/A,482.57M,N/A,-1.97,5.18,1.20,-9.37,-29.04%,-63.82%,-7.52%,-10.27%,97.01M,2.62,66.10%,60.42M,-45.73M,-0.76,N/A,88.28M,2.38,1.32M,0.30,1.82,11.27,-9.02M,17.86M,1.12,-27.94%,20.49,12.41,14.04,14.58,"159,586","196,525",36.84M,N/A,N/A,995.09K,5.90,N/A,N/A
ATU,44.39,1.37B,15.00,3.49,1.04,2.01,8.62,2.56%,12.07%,5.45%,3.80%,1.30B,20.54,-15.40%,546.87M,211.27M,0.52,-24.90%,108.12M,1.82,600.00M,89.11,2.40,11.32,93.33M,88.81M,1.48,-30.35%,34.50,21.92,22.93,23.93,"684,844","731,950",59.48M,7.12%,101.80%,2.30M,3.30,0.20%,0.04
BIRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYI,41.48,8.99B,30.56,2.09,3.39,6.75,19.02,8.29%,14.34%,10.71%,17.78%,2.62B,60.69,13.20%,979.20M,420.10M,4.98,47.30%,652.10M,15.10,353.70M,26.92,2.76,30.41,262.50M,212.50M,0.95,80.69%,207.55,112.98,192.01,173.48,"437,109","434,512",43.54M,5.87%,92.80%,1.23M,2.80,0.30%,0.52
ACUR,N/A,36.58M,15.50,N/A,4.87,4.51,-5.34,-129.94%,-113.11%,-20.07%,-78.59%,6.07M,0.12,"12,654.80%",524.00K,-6.53M,-0.16,N/A,14.21M,0.29,9.72M,149.13,3.98,0.13,-5.90M,-5.59M,1.46,-31.11%,1.35,0.41,0.85,0.76,"245,948","98,788",59.01M,34.52%,24.90%,181.93K,0.30,N/A,N/A
ACXM,N/A,1.56B,29.22,3.60,1.53,2.21,10.28,-1.08%,6.35%,3.06%,-1.32%,1.02B,13.23,-4.20%,212.59M,147.94M,-0.14,N/A,141.01M,1.80,287.62M,40.90,1.67,9.04,104.98M,56.27M,1.89,10.83%,21.25,15.78,17.87,18.33,"555,006","488,150",77.59M,6.07%,88.30%,5.24M,10.00,N/A,N/A
ADMP,N/A,50.47M,N/A,N/A,N/A,3.00,-3.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-12.10M,-1.35,N/A,11.24M,0.84,0.00,N/A,4.97,1.32,-9.38M,N/A,-1.19,7.43%,7.26,2.62,4.14,4.95,"47,344","54,700",13.42M,30.71%,11.00%,241.24K,8.80,N/A,N/A
AE,44.92,191.16M,N/A,N/A,0.05,1.18,2.54,0.11%,0.09%,0.55%,2.48%,3.74B,886.57,-41.50%,40.18M,36.18M,1.01,-42.30%,88.13M,20.90,0.00,N/A,1.59,37.86,23.85M,5.62M,1.02,-36.55%,73.98,38.58,45.30,54.08,"7,908","10,325",4.22M,54.95%,34.60%,34.51K,5.20,2.10%,0.88
ADK,N/A,81.12M,N/A,N/A,0.37,35.05,23.13,-8.40%,0.35%,0.20%,-56.16%,193.71M,10.47,0.80%,33.88M,8.66M,-1.02,N/A,10.68M,0.56,139.63M,706.04,0.85,0.11,-14.00K,1.14M,0.47,-24.24%,5.05,3.32,3.67,3.98,"35,903","28,838",21.63M,24.81%,20.20%,157.28K,3.80,5.90%,0.11
ADUS,26.66,317.65M,19.36,1.55,0.97,2.41,12.16,3.73%,5.87%,6.85%,9.53%,323.17M,29.58,14.30%,83.74M,23.44M,1.08,-8.20%,7.40M,0.68,3.42M,2.62,2.23,11.93,3.45M,-5.80M,1.36,25.60%,29.40,17.02,27.68,25.52,"66,283","62,500",11.01M,45.43%,51.80%,177.15K,2.00,N/A,N/A
AEY,16.97,22.56M,N/A,N/A,0.51,0.55,5.43,3.14%,7.30%,3.69%,3.68%,43.66M,4.35,36.70%,11.61M,4.41M,0.13,N/A,4.82M,0.48,5.67M,14.08,4.66,3.99,349.10K,585.27K,0.48,-2.61%,2.70,2.18,2.29,2.35,"8,528","3,388",10.07M,52.07%,8.20%,2.77K,0.30,N/A,N/A
ADEP,N/A,103.26M,N/A,-1.06,1.79,5.69,-39.08,-7.35%,-6.20%,-7.15%,-21.44%,54.57M,4.17,-6.70%,26.62M,-2.33M,-0.31,N/A,2.71M,0.21,1.75M,10.23,2.40,1.30,-6.82M,-3.10M,1.00,-26.22%,11.88,5.30,7.14,6.75,"78,069","42,875",14.56M,11.73%,49.50%,656.18K,9.30,N/A,N/A
