,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
AVX,9.78,2.20B,15.98,1.93,1.63,1.04,5.05,16.69%,15.72%,5.49%,10.81%,1.35B,8.05,-10.20%,328.57M,254.96M,1.34,159.50%,843.51M,5.02,0.00,N/A,6.55,12.68,197.59M,247.19M,0.95,-3.68%,15.15,11.73,13.30,13.89,"276,770","200,262",168.08M,72.53%,25.10%,1.38M,3.20,3.30%,0.42
AWRE,22.20,76.14M,N/A,N/A,3.93,1.39,8.64,18.07%,16.51%,2.62%,6.73%,18.97M,0.83,-33.40%,17.88M,3.69M,0.15,-63.10%,45.37M,1.98,0.00,N/A,12.80,2.35,N/A,N/A,0.39,-23.45%,5.19,2.82,3.78,4.25,"23,805","37,950",22.87M,40.29%,23.70%,61.20K,4.40,N/A,N/A
AXTA,91.11,7.14B,21.52,2.09,1.60,7.08,12.69,1.77%,11.84%,N/A,7.53%,4.33B,18.89,-5.40%,1.49B,813.40M,0.33,N/A,222.90M,0.97,3.61B,344.48,2.19,4.26,219.90M,N/A,N/A,N/A,36.50,20.11,32.33,30.58,"1,709,770","1,530,820",235.26M,N/A,N/A,2.30M,1.60,N/A,N/A
ACLS,N/A,364.43M,13.96,1.14,1.68,2.11,-545.40,-4.44%,-2.37%,-1.26%,-5.48%,215.49M,1.92,20.50%,70.16M,-523.00K,-0.09,973.60%,74.55M,0.66,47.59M,27.78,4.65,1.51,-3.34M,3.21M,1.90,81.36%,3.32,1.69,2.98,2.81,"733,766","1,200,720",113.53M,6.98%,49.90%,2.65M,3.50,N/A,N/A
AXLL,42.29,1.98B,11.82,5.59,0.47,0.87,8.19,1.05%,3.66%,1.81%,1.99%,4.52B,64.45,-4.60%,500.60M,409.50M,0.67,N/A,134.70M,1.92,1.47B,57.79,2.36,34.66,294.10M,120.69M,1.86,-29.38%,51.35,27.89,32.77,40.35,"980,258","953,688",70.23M,6.18%,96.90%,2.15M,2.20,2.20%,0.64
AXPW,N/A,4.08M,N/A,N/A,1.58,0.43,-0.36,N/A,-317.30%,-56.96%,-259.14%,2.58M,12.86,-89.20%,-2.33M,-7.07M,-65.39,N/A,2.22M,0.83,245.31K,7.10,3.72,3.51,-5.21M,-561.47K,-2.40,-99.13%,192.50,1.05,2.74,5.14,"340,303","246,575",2.68M,N/A,0.50%,138.64K,0.20,N/A,N/A
AXS,7.47,5.75B,12.73,2.71,1.36,1.07,8.03,19.43%,17.42%,2.24%,13.70%,4.27B,41.81,-7.60%,1.42B,759.27M,7.64,12.60%,1.03B,10.25,991.04M,16.39,0.46,53.38,682.93M,327.12M,0.63,24.70%,60.00,44.94,55.46,53.29,"815,233","817,325",100.89M,8.25%,88.50%,730.56K,0.90,2.10%,1.14
AXGN,N/A,87.99M,N/A,N/A,4.50,N/A,-9.98,-91.50%,-50.21%,-22.18%,N/A,18.63M,0.98,57.80%,13.38M,-9.15M,-0.90,N/A,19.26M,0.77,25.27M,N/A,7.57,-0.03,-9.81M,-8.35M,1.41,57.59%,4.24,2.11,3.30,3.30,"42,764","22,550",24.93M,42.65%,19.70%,45.32K,1.90,N/A,N/A
AXTI,N/A,71.85M,N/A,-1.83,0.82,0.52,12.91,-0.44%,-2.61%,-0.86%,0.17%,84.22M,2.59,3.70%,17.17M,3.44M,-0.02,N/A,36.88M,1.14,0.00,N/A,6.67,4.12,3.86M,1.63M,0.86,-10.93%,3.05,1.98,2.43,2.53,"45,502","42,913",32.66M,3.87%,37.50%,126.49K,2.00,N/A,N/A
AZZ,19.15,1.34B,14.38,1.22,1.61,3.06,10.23,8.43%,13.96%,7.33%,16.87%,829.45M,32.26,5.90%,205.70M,161.43M,2.71,33.50%,45.76M,1.78,367.09M,83.95,2.21,16.97,110.79M,78.26M,1.60,15.08%,54.01,36.84,51.70,47.70,"143,525","125,388",25.77M,3.22%,86.60%,757.78K,4.40,1.20%,0.60
BGS,36.00,1.73B,18.99,3.25,2.02,3.72,13.95,5.29%,18.35%,5.72%,10.78%,857.76M,15.76,-4.60%,247.77M,183.96M,0.83,16.20%,98.54M,1.70,984.45M,211.27,3.26,8.04,N/A,N/A,0.46,2.65%,32.67,27.03,29.29,29.67,"333,645","230,488",57.98M,2.22%,74.40%,3.33M,9.10,4.70%,1.36
BWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI,29.50,836.66M,24.18,1.97,2.25,3.70,14.03,7.70%,11.89%,7.97%,13.18%,368.15M,25.63,3.40%,131.14M,61.33M,1.96,-10.40%,12.68M,0.88,73.03M,32.66,1.40,15.55,N/A,N/A,0.69,12.39%,65.87,47.46,60.88,60.97,"88,472","91,850",14.48M,3.76%,75.60%,526.83K,6.40,1.40%,0.76
BHI,93.33,24.29B,64.79,147.80,1.15,1.39,8.05,1.22%,7.54%,3.72%,1.40%,21.45B,49.08,-33.10%,4.80B,3.43B,0.60,N/A,1.97B,4.53,4.04B,22.72,3.19,40.60,3.09B,2.77B,1.06,-18.79%,70.51,47.51,59.52,62.69,"3,356,530","3,581,980",435.88M,0.21%,92.80%,8.85M,2.60,1.20%,0.51
BCPC,32.83,1.92B,21.43,1.07,3.19,4.65,14.85,9.85%,15.94%,9.66%,15.65%,600.25M,19.65,68.50%,144.17M,132.70M,1.88,70.60%,56.61M,1.82,323.75M,78.73,2.29,13.24,101.71M,48.92M,1.65,16.23%,69.92,50.71,57.16,56.86,"157,680","180,875",31.09M,1.72%,77.60%,1.87M,10.00,0.50%,0.30
BWIN.B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLL,24.70,9.56B,18.10,3.44,1.13,10.15,10.78,4.68%,10.37%,7.14%,34.54%,8.49B,61.64,-4.20%,1.67B,1.16B,2.81,-77.90%,228.80M,1.66,3.50B,303.17,1.21,6.83,968.20M,597.47M,1.16,10.66%,77.20,61.76,70.06,70.87,"1,009,170","1,342,950",137.94M,1.24%,77.60%,6.52M,7.30,0.80%,0.52
BTN,N/A,58.39M,N/A,N/A,0.60,1.06,165.47,-10.02%,-1.89%,-1.38%,-16.06%,95.54M,6.79,2.00%,18.16M,252.00K,-0.68,N/A,23.88M,1.69,0.00,N/A,3.42,3.85,1.01M,6.20M,0.70,3.50%,5.13,3.42,4.69,4.60,"27,289","28,850",14.10M,10.79%,47.00%,29.41K,1.60,N/A,N/A
BANC,10.47,423.76M,9.30,0.88,1.29,0.96,N/A,12.81%,17.17%,0.83%,10.04%,328.92M,10.13,67.40%,N/A,N/A,1.14,"1,578.80%",280.86M,7.89,657.22M,N/A,N/A,12.39,-429.58M,N/A,0.60,-1.73%,14.25,10.18,13.47,12.47,"298,292","309,500",35.61M,8.96%,44.60%,1.52M,3.60,3.50%,0.48
BANF,14.53,989.90M,14.72,1.27,3.47,1.60,N/A,24.12%,37.90%,N/A,N/A,287.60M,18.57,11.70%,N/A,N/A,4.38,26.30%,1.89B,121.64,32.62M,N/A,N/A,40.08,N/A,N/A,0.52,4.67%,69.49,55.51,65.33,61.08,"25,597","26,225",15.56M,57.55%,29.40%,218.33K,9.60,2.10%,1.36
TBBK,N/A,308.52M,10.20,2.01,2.18,0.87,N/A,-13.00%,4.68%,0.18%,2.45%,141.24M,3.75,-19.80%,N/A,N/A,-0.49,N/A,54.92M,1.46,32.81M,N/A,N/A,9.44,N/A,N/A,0.90,-10.03%,11.03,7.81,9.24,9.30,"182,566","106,038",37.81M,6.10%,87.10%,1.41M,5.70,N/A,N/A
BXS,18.95,2.44B,15.19,3.43,3.43,1.46,N/A,18.08%,27.66%,0.97%,7.92%,715.86M,7.45,7.90%,N/A,N/A,1.33,28.70%,217.98M,2.25,565.64M,N/A,N/A,17.36,N/A,N/A,1.49,22.86%,26.68,19.22,25.68,23.91,"603,689","410,100",96.76M,10.82%,68.70%,6.09M,8.40,1.60%,0.30
BAC,18.57,185.87B,10.96,1.46,2.32,0.81,N/A,14.22%,42.41%,0.53%,4.70%,80.85B,7.69,N/A,N/A,N/A,0.96,132.20%,611.50B,58.15,539.92B,N/A,N/A,21.91,N/A,N/A,0.70,16.62%,18.48,14.97,17.52,16.50,"75,785,000","67,975,800",10.47B,0.04%,60.70%,82.21M,1.00,1.10%,0.20
BOH,17.85,2.95B,16.54,1.96,5.12,2.74,N/A,28.99%,44.01%,1.14%,15.86%,575.61M,13.17,8.00%,N/A,N/A,3.79,10.00%,791.98M,18.16,871.01M,N/A,N/A,24.63,199.33M,N/A,1.13,18.81%,69.00,52.70,67.16,62.70,"226,664","198,950",43.62M,1.76%,72.80%,4.00M,16.90,2.70%,1.80
BKYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKMU,22.81,336.16M,20.86,N/A,3.59,1.20,N/A,16.45%,27.42%,0.65%,5.41%,93.50M,2.03,3.70%,N/A,N/A,0.32,0.30%,52.84M,1.15,333.03M,N/A,N/A,6.06,N/A,N/A,1.16,18.51%,7.84,5.96,7.46,7.23,"113,656","95,738",46.05M,7.37%,48.30%,1.15M,7.60,2.80%,0.17
BMRC,15.37,285.83M,15.46,1.48,3.70,1.38,N/A,24.44%,41.04%,1.02%,9.45%,76.99M,13.01,-3.70%,N/A,N/A,3.11,-17.10%,117.53M,19.77,20.29M,N/A,N/A,34.85,N/A,N/A,0.95,6.01%,53.63,44.70,49.27,49.99,"12,020","7,850",5.98M,3.79%,40.70%,102.86K,6.90,1.90%,0.88
BK,17.84,50.22B,13.98,1.21,3.06,1.37,N/A,18.43%,33.98%,0.77%,7.76%,16.00B,14.29,3.60%,15.65B,N/A,2.51,47.80%,165.45B,149.52,53.15B,N/A,N/A,32.28,N/A,N/A,1.23,16.42%,45.14,35.06,43.02,41.41,"5,784,150","5,183,950",1.12B,0.22%,82.40%,8.79M,1.60,1.60%,0.68
OZRK,24.40,3.86B,18.51,2.68,9.71,3.18,N/A,38.22%,57.51%,2.02%,14.69%,396.40M,4.79,47.10%,N/A,N/A,1.82,69.10%,N/A,N/A,349.35M,N/A,N/A,13.93,N/A,N/A,1.42,40.87%,48.68,29.14,45.50,40.60,"876,020","385,450",86.81M,10.80%,76.70%,6.62M,6.50,1.30%,0.53
BKSC,15.92,71.77M,N/A,N/A,4.61,1.94,N/A,29.05%,42.44%,1.30%,12.68%,16.00M,3.59,13.60%,N/A,N/A,1.01,26.10%,25.83M,5.79,3.98M,N/A,N/A,8.52,7.77M,N/A,0.53,8.00%,18.69,14.12,16.74,15.85,"1,811","2,100",4.47M,24.01%,6.10%,3.05K,1.90,3.00%,0.62
CBAN,14.24,74.52M,N/A,N/A,1.64,1.01,N/A,17.34%,33.05%,0.69%,8.17%,45.90M,5.44,1.10%,N/A,N/A,0.62,29.20%,62.72M,7.43,64.23M,N/A,N/A,8.81,13.58M,N/A,1.31,34.60%,9.35,6.26,8.89,8.32,"3,781","7,275",8.44M,33.27%,6.60%,4.36K,1.70,N/A,N/A
BFIN,5.82,217.82M,23.96,N/A,4.38,1.11,N/A,75.28%,27.32%,2.88%,21.12%,55.33M,2.74,11.70%,N/A,N/A,2.06,110.80%,147.89M,7.30,3.22M,N/A,N/A,10.74,19.83M,N/A,0.95,15.30%,13.62,10.17,11.93,12.16,"61,023","18,050",18.18M,20.67%,53.90%,262.98K,4.20,1.40%,0.15
RATE,172.00,1.04B,13.06,1.20,1.90,1.25,10.95,1.10%,7.17%,1.92%,0.80%,550.21M,5.46,3.90%,222.86M,99.95M,0.06,21.20%,154.64M,1.53,297.75M,35.75,3.63,8.26,69.48M,66.25M,1.95,-27.88%,15.63,8.91,10.00,11.77,"723,553","1,070,690",100.77M,42.89%,60.80%,4.94M,4.80,N/A,N/A
BKU,20.16,3.82B,15.51,1.39,5.16,1.76,N/A,26.46%,39.89%,1.01%,9.30%,731.28M,7.23,8.10%,N/A,N/A,1.83,-3.90%,73.21M,0.71,3.74B,N/A,N/A,20.74,N/A,N/A,1.18,20.89%,37.32,26.69,36.30,33.58,"729,839","762,800",103.48M,5.86%,96.90%,2.74M,3.10,2.30%,0.84
BWFG,22.85,129.37M,13.54,N/A,3.68,1.06,N/A,15.37%,29.57%,0.56%,5.25%,34.60M,5.41,26.70%,N/A,N/A,0.80,66.80%,19.43M,2.76,133.00M,N/A,N/A,17.10,11.77M,N/A,1.03,1.11%,21.90,17.11,18.02,18.74,"7,813",950,7.08M,2.33%,5.50%,7.01K,1.50,N/A,N/A
BANR,18.04,989.82M,15.18,2.11,4.06,1.52,N/A,21.10%,36.18%,1.05%,8.50%,246.47M,12.44,23.20%,N/A,N/A,2.62,-22.10%,216.38M,10.32,179.45M,N/A,N/A,31.50,N/A,N/A,1.14,20.10%,50.50,37.52,47.95,45.65,"84,648","85,713",20.97M,2.28%,92.70%,422.95K,4.10,1.50%,0.72
BHB,13.51,197.71M,12.73,N/A,3.89,1.30,N/A,29.20%,42.44%,1.01%,10.51%,50.37M,8.48,5.10%,N/A,N/A,2.45,2.50%,11.04M,1.85,486.60M,N/A,N/A,25.19,-401.00K,N/A,0.94,22.59%,37.98,26.46,34.81,34.29,"22,552","11,788",5.97M,3.39%,38.10%,127.25K,3.30,3.00%,0.96
BCR,43.82,14.73B,19.82,2.03,4.37,8.45,13.94,10.38%,25.85%,N/A,N/A,3.38B,45.17,4.00%,2.06B,1.05B,4.53,N/A,1.01B,13.57,1.64B,93.76,N/A,23.55,N/A,N/A,0.87,33.21%,202.47,141.49,181.12,173.54,"472,728","780,150",74.20M,0.40%,94.00%,1.81M,4.70,0.50%,0.90
BKS,82.06,1.20B,19.94,2.61,0.18,0.93,5.17,0.60%,2.11%,2.37%,2.79%,6.07B,99.76,-10.40%,1.87B,322.22M,0.21,N/A,74.36M,1.16,300.00K,0.02,1.20,18.80,55.91M,-16.83M,2.42,15.65%,19.00,11.73,17.62,16.05,"1,387,530","1,237,890",70.01M,34.32%,54.80%,5.68M,4.50,2.20%,0.15
B,17.27,2.19B,14.90,1.60,1.73,1.86,9.15,10.35%,16.09%,5.82%,11.24%,1.24B,22.61,-2.20%,432.36M,278.53M,2.31,13.20%,81.97M,1.49,497.34M,43.05,2.52,20.95,207.90M,54.95M,1.89,15.07%,41.74,29.47,39.01,39.25,"250,409","266,462",54.79M,17.09%,83.50%,804.77K,3.80,1.20%,0.47
BRN,N/A,15.73M,N/A,N/A,0.72,1.03,7.28,-2.39%,-9.74%,-2.51%,2.82%,22.54M,2.72,-55.40%,22.53M,2.67M,-0.07,N/A,9.10M,1.10,8.65M,52.67,1.65,1.89,-1.88M,-635.12K,0.19,-34.93%,3.44,1.50,2.36,2.53,"5,683","10,238",8.28M,57.03%,10.90%,4.29K,2.30,N/A,N/A
BBG,14.06,235.29M,N/A,-0.77,0.61,0.23,2.00,4.15%,52.40%,5.46%,1.60%,387.71M,8.06,-61.90%,376.55M,481.19M,0.34,N/A,148.69M,3.08,804.12M,78.99,1.49,21.08,240.35M,-282.79M,0.87,-78.48%,24.59,4.27,7.04,9.13,"2,442,960","4,092,260",49.96M,1.42%,112.00%,16.04M,7.30,N/A,N/A
BBSI,N/A,267.61M,9.30,0.55,0.40,8.35,-6.39,-4.39%,-7.33%,-7.44%,-58.50%,667.96M,93.41,23.50%,30.42M,-46.34M,-4.10,N/A,36.88M,5.16,50.77M,158.24,0.82,4.49,67.39M,-31.28M,1.55,-34.72%,63.45,18.25,38.99,39.33,"155,719","169,450",7.14M,2.01%,88.50%,338.30K,4.00,2.20%,0.84
BAS,N/A,266.05M,N/A,-0.27,0.19,0.87,3.82,-2.76%,3.39%,1.99%,-11.99%,1.42B,34.52,-22.30%,479.86M,274.90M,-0.95,N/A,104.94M,2.59,925.03M,300.86,2.29,7.58,261.75M,51.58M,2.24,-74.31%,25.01,5.00,6.54,7.46,"2,560,540","3,629,540",42.64M,22.53%,71.50%,12.01M,4.90,N/A,N/A
BSET,20.48,344.08M,21.25,1.16,0.89,1.99,11.78,4.26%,5.45%,5.24%,9.96%,384.27M,36.55,31.00%,182.42M,29.50M,1.55,77.50%,45.59M,4.20,15.18M,8.84,1.95,15.80,25.34M,10.11M,0.99,111.07%,38.65,13.16,33.38,28.53,"112,608","92,725",10.87M,4.67%,63.10%,267.40K,1.40,1.00%,0.52
BAX,9.66,22.76B,28.88,7.56,1.38,3.14,6.71,14.29%,19.03%,7.87%,23.27%,16.59B,30.59,-2.20%,8.16B,4.17B,4.34,-22.70%,2.53B,4.65,10.06B,138.05,1.60,13.35,2.75B,204.88M,0.32,3.91%,43.44,34.77,38.52,37.70,"13,090,900","24,076,800",543.53M,0.15%,83.10%,28.67M,2.60,5.50%,1.13
BV,N/A,440.46M,274.50,-3.05,2.20,2.20,-17.41,-18.00%,-13.88%,-4.95%,-16.67%,191.18M,2.43,N/A,121.28M,-21.58M,-0.44,N/A,106.77M,1.39,57.00M,29.78,1.85,2.50,-15.97M,17.20M,0.50,-27.09%,9.39,5.21,5.83,6.43,"652,444","617,900",80.23M,8.23%,74.00%,5.14M,5.70,N/A,N/A
BBT,14.55,29.54B,12.36,2.06,3.35,1.33,N/A,24.39%,38.41%,1.17%,9.06%,8.91B,12.34,1.50%,N/A,N/A,2.77,6.30%,2.62B,3.57,27.15B,N/A,N/A,30.64,N/A,N/A,0.97,11.27%,41.90,34.50,40.81,39.19,"3,957,550","5,229,420",733.48M,0.38%,60.60%,17.29M,4.10,2.60%,0.75
BBCN,13.97,1.23B,13.03,1.38,4.10,1.37,N/A,29.20%,49.87%,1.25%,10.04%,302.73M,3.81,2.60%,N/A,N/A,1.11,2.80%,299.88M,3.77,623.03M,N/A,N/A,11.42,N/A,N/A,1.26,6.23%,15.84,12.77,15.11,14.43,"385,856","362,250",79.55M,3.77%,86.20%,2.17M,4.60,2.90%,0.41
BBX,61.54,258.76M,N/A,N/A,2.87,0.82,-14.66,4.89%,-23.03%,-3.20%,1.26%,89.33M,5.55,9.70%,N/A,-17.94M,0.26,-23.90%,39.95M,2.47,46.40M,14.80,N/A,19.30,-304.00K,N/A,1.47,-15.30%,19.29,11.80,16.18,16.18,"34,939","13,425",15.98M,53.05%,18.70%,133.09K,2.60,N/A,N/A
BCBP,17.31,97.80M,N/A,N/A,1.88,1.09,N/A,12.34%,23.15%,0.47%,6.25%,52.28M,6.23,3.80%,N/A,N/A,0.67,-28.50%,46.88M,5.56,206.12M,N/A,N/A,10.71,N/A,N/A,0.52,-10.56%,13.30,11.11,11.79,11.93,"5,736","16,938",8.43M,20.28%,6.90%,7.27K,2.50,4.80%,0.56
BDCV,N/A,48.90M,10.00,N/A,914.43,0.74,N/A,-60.20%,"-6,978.06%",-3.29%,-0.05%,53.44K,0.01,-59.70%,54.48K,N/A,-0.00,N/A,22.15M,2.26,0.00,N/A,8.74,6.71,12.04M,-3.61M,-0.03,-12.13%,5.75,3.75,4.85,4.97,"18,108","16,338",9.78M,1.78%,8.20%,7.26K,0.30,12.00%,0.70
BEAV,39.01,5.35B,15.35,1.13,1.97,43.22,14.98,5.04%,15.48%,5.10%,5.95%,2.68B,25.72,-35.70%,1.02B,474.40M,1.29,-27.30%,326.30M,3.12,2.38B,"1,953.07",2.19,1.17,293.10M,1.28B,1.28,-19.02%,64.58,46.85,52.88,58.87,"1,243,420","1,259,860",106.16M,7.02%,88.80%,5.07M,5.40,1.60%,0.38
BECN,32.14,1.72B,20.16,1.73,0.71,2.08,13.03,2.26%,4.11%,4.37%,6.84%,2.40B,48.56,7.40%,527.84M,130.15M,1.08,N/A,22.96M,0.46,226.10M,27.63,2.37,16.50,81.91M,39.49M,1.79,21.64%,36.34,23.04,32.52,30.27,"452,683","644,475",49.62M,10.60%,104.60%,3.07M,8.10,N/A,N/A
BSF,10.87,307.06M,N/A,N/A,5.48,1.78,N/A,47.83%,22.67%,2.62%,21.95%,56.13M,1.80,204.00%,N/A,N/A,0.85,N/A,94.34M,2.83,63.22M,N/A,N/A,5.19,7.17M,N/A,1.14,19.02%,11.48,7.23,9.10,9.81,"49,386","18,513",33.38M,73.57%,3.00%,491.56K,4.80,N/A,N/A
BBGI,2.37,97.86M,N/A,N/A,1.40,0.75,15.01,58.02%,13.65%,2.07%,3.37%,70.00M,3.07,87.20%,58.71M,12.36M,1.78,90.10%,12.35M,0.53,96.19M,73.53,2.79,5.63,14.26M,4.14M,0.25,-31.10%,6.97,4.21,4.45,4.86,"3,963",250,6.58M,29.01%,59.90%,1.83K,0.70,4.10%,0.18
BZH,23.59,463.06M,9.53,3.98,0.31,1.73,37.61,1.58%,2.54%,1.17%,11.01%,1.47B,55.42,10.90%,263.46M,49.85M,0.72,N/A,146.26M,5.52,1.54B,593.18,8.32,9.77,-175.33M,-178.78M,2.70,-2.88%,21.19,14.20,19.20,17.88,"490,292","558,950",27.45M,6.83%,101.40%,3.72M,6.40,N/A,N/A
BEBE,N/A,144.14M,N/A,-0.28,0.34,0.92,-3.22,-13.32%,-9.04%,-9.33%,-23.51%,427.31M,5.37,4.10%,138.13M,-22.26M,-0.72,N/A,71.55M,0.90,0.00,N/A,2.76,1.96,-26.79M,-28.66M,1.12,-36.27%,4.00,1.73,1.96,2.92,"363,555","122,212",79.63M,60.35%,38.40%,3.82M,10.10,3.30%,0.05
BDX,27.33,31.18B,17.64,1.57,3.72,4.39,N/A,12.77%,19.46%,5.07%,17.30%,8.45B,43.64,-1.00%,4.30B,2.17B,5.45,-24.70%,1.97B,9.40,13.84B,193.30,1.56,34.19,1.49B,173.62M,1.20,27.70%,154.98,112.15,146.34,143.51,"1,033,680","1,325,990",209.39M,0.33%,86.70%,4.75M,4.60,1.60%,2.34
BBBY,12.34,10.74B,11.41,2.13,0.88,4.12,6.64,7.77%,12.76%,14.73%,28.82%,11.96B,66.85,3.10%,4.62B,1.77B,5.13,-15.30%,692.10M,4.16,1.50B,58.77,1.99,15.34,1.16B,854.93M,1.12,1.12%,79.64,61.37,67.60,72.26,"2,026,220","1,877,620",169.60M,8.10%,88.40%,14.26M,6.80,N/A,N/A
BELF.B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDC,80.64,2.38B,10.02,1.33,1.03,3.05,14.32,1.28%,9.11%,4.37%,3.60%,2.37B,55.02,12.20%,819.45M,334.47M,0.69,N/A,166.70M,3.91,1.91B,239.20,1.81,18.70,166.24M,190.36M,1.75,-19.19%,95.56,53.80,73.33,84.17,"352,878","918,850",42.65M,1.60%,101.50%,2.57M,8.80,0.30%,0.20
BMS,22.79,4.39B,16.19,2.17,1.02,3.21,9.63,4.64%,9.94%,6.79%,15.89%,4.22B,42.92,N/A,859.10M,574.90M,1.98,N/A,87.80M,0.91,1.38B,103.15,2.57,13.90,396.20M,328.69M,0.97,13.60%,49.44,34.34,45.76,46.08,"617,733","581,962",97.44M,1.02%,77.50%,3.41M,5.70,2.50%,1.10
BHE,15.33,1.13B,12.47,1.09,0.42,0.89,4.75,2.81%,3.90%,3.95%,5.97%,2.73B,51.60,-7.40%,219.86M,154.74M,1.43,-4.20%,409.32M,7.84,9.19M,0.71,3.89,24.81,N/A,N/A,0.81,-9.93%,25.92,20.37,21.63,23.26,"293,961","285,825",51.60M,0.82%,97.30%,1.29M,3.60,N/A,N/A
BNCL,44.51,1.06B,55.74,4.49,6.76,0.93,N/A,15.44%,26.30%,0.51%,2.72%,150.82M,1.90,13.30%,N/A,N/A,0.29,54.20%,286.30M,3.65,190.40M,N/A,N/A,14.06,N/A,N/A,0.55,3.68%,13.10,10.64,12.75,11.83,"727,638","353,875",82.71M,62.81%,24.00%,1.90M,1.60,N/A,N/A
BNFT,N/A,1.08B,N/A,-0.84,7.10,55.47,-23.67,-43.79%,-39.85%,-23.13%,-676.83%,149.39M,5.80,39.00%,49.95M,-51.90M,-2.54,N/A,107.43M,3.76,45.37M,237.87,1.95,0.67,-25.07M,-17.38M,N/A,-8.37%,47.49,19.58,42.36,35.79,"162,784","299,738",28.59M,0.05%,74.60%,2.01M,13.50,N/A,N/A
WRB,12.57,7.06B,15.13,1.84,0.98,1.53,7.26,8.34%,14.03%,2.95%,13.26%,7.17B,56.48,2.20%,3.64B,1.09B,4.50,-30.30%,1.59B,12.72,2.45B,53.17,1.48,36.65,652.70M,586.76M,0.95,23.98%,56.73,45.17,55.10,51.33,"707,989","619,038",124.84M,22.20%,72.20%,5.69M,6.10,0.90%,1.45
BRK.B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHLB,17.71,852.86M,12.73,1.41,3.56,1.00,N/A,18.16%,29.09%,0.61%,5.56%,232.27M,9.05,18.90%,N/A,N/A,1.63,-12.40%,192.24M,6.79,1.27B,N/A,N/A,29.23,N/A,N/A,0.60,17.39%,29.81,22.84,28.77,27.55,"114,339","95,725",29.52M,2.30%,72.70%,504.42K,3.50,2.60%,0.75
BERY,38.16,3.50B,14.88,0.83,0.69,N/A,10.09,1.88%,7.54%,4.50%,N/A,5.05B,42.79,1.20%,768.00M,745.00M,0.77,216.70%,119.00M,1.00,3.81B,N/A,2.04,-0.75,492.00M,258.38M,0.44,19.58%,37.08,22.62,32.74,34.05,"1,577,810","3,793,190",119.40M,3.29%,101.20%,3.44M,2.50,N/A,N/A
BBY,12.08,10.85B,11.03,1.15,0.27,2.26,4.36,2.24%,3.67%,6.69%,17.52%,40.26B,114.78,-0.90%,9.05B,2.14B,2.55,-72.00%,3.74B,10.60,1.61B,33.05,1.55,13.78,1.62B,941.38M,3.24,3.78%,42.00,28.80,33.16,35.99,"4,268,020","3,383,280",352.77M,18.23%,77.20%,35.18M,9.90,2.80%,1.35
BGMD,N/A,13.25M,N/A,N/A,5.65,N/A,-3.16,-291.07%,-252.19%,-89.41%,N/A,2.48M,0.29,-40.90%,1.83M,-6.14M,-0.84,N/A,1.61M,0.19,1.86M,N/A,0.74,-0.07,-7.18M,-4.34M,-2.35,-58.42%,4.88,1.08,2.06,2.84,"119,036","118,738",8.66M,37.11%,12.70%,291.23K,1.70,N/A,N/A
BGCP,216.22,2.41B,10.69,1.01,1.31,5.52,N/A,0.55%,-2.61%,0.28%,1.37%,1.85B,8.35,22.10%,1.75B,N/A,0.05,75.50%,460.73M,1.87,1.11B,112.71,1.06,1.78,120.14M,N/A,1.38,25.39%,10.27,6.87,9.12,9.18,"1,280,950","1,486,600",212.38M,6.24%,37.60%,4.09M,2.50,6.30%,0.50
BGFV,16.21,249.53M,12.73,1.09,0.24,1.24,7.36,1.53%,2.89%,4.12%,7.89%,990.15M,45.23,5.30%,313.45M,50.29M,0.69,12.30%,6.30M,0.29,57.56M,29.66,2.14,8.88,44.64M,14.62M,1.84,9.48%,15.47,9.19,13.65,13.36,"203,938","619,238",22.28M,7.41%,80.00%,484.11K,4.00,2.70%,0.40
BIG,16.01,2.17B,12.18,1.15,0.42,2.80,6.32,2.77%,4.51%,8.82%,17.22%,5.18B,95.94,-0.10%,2.04B,341.86M,2.62,862.20%,67.19M,1.30,40.50M,5.10,1.67,15.09,303.92M,196.83M,1.31,-9.39%,51.75,38.15,44.44,46.62,"1,018,540","585,688",51.88M,2.01%,108.40%,12.85M,11.70,1.80%,0.72
