,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
IRM,18.03,6.17B,13.07,N/A,1.99,8.29,12.00,10.51%,18.26%,5.40%,36.29%,3.10B,15.50,-2.70%,1.77B,929.69M,1.62,-1.40%,119.61M,0.57,4.72B,624.17,1.23,3.53,422.82M,128.15M,1.74,-7.64%,41.53,28.34,31.07,35.41,"1,724,190","1,339,240",210.67M,6.38%,93.80%,12.34M,6.80,6.10%,2.79
JEC,16.91,5.43B,13.18,1.33,0.44,1.26,6.40,2.66%,5.33%,5.17%,8.04%,12.54B,97.22,-8.60%,2.07B,822.29M,2.56,-1.80%,464.95M,3.70,755.43M,17.13,1.70,34.54,630.16M,545.17M,1.82,-15.58%,54.74,37.87,41.39,43.03,"1,261,390","1,691,880",125.58M,2.20%,85.00%,5.09M,4.00,N/A,N/A
JBHT,23.22,9.34B,19.18,1.49,1.54,7.13,10.44,6.59%,11.05%,13.00%,33.72%,6.19B,53.13,-0.50%,2.27B,1.00B,3.46,10.70%,5.59M,0.05,893.20M,66.70,1.01,11.52,N/A,N/A,0.60,5.31%,93.50,71.00,83.86,85.35,"1,199,190","801,238",116.25M,21.21%,71.90%,4.40M,2.50,1.00%,0.83
JNJ,17.42,274.12B,15.47,3.31,3.82,4.05,11.17,22.41%,27.52%,N/A,N/A,71.88B,25.78,-8.80%,51.58B,23.50B,5.68,4.40%,31.32B,11.29,18.98B,27.97,N/A,24.45,N/A,N/A,0.98,-2.28%,109.49,95.10,99.43,100.36,"7,192,290","6,165,310",2.77B,0.01%,67.30%,27.89M,3.70,3.00%,2.85
JCI,20.37,30.39B,11.75,1.50,0.71,2.84,10.46,3.59%,6.11%,4.99%,16.58%,42.46B,64.53,-11.10%,6.63B,3.47B,2.28,1.10%,213.00M,0.33,7.54B,68.13,1.07,16.29,2.10B,1.09B,1.88,-3.79%,54.52,38.60,48.15,49.64,"4,015,660","4,466,660",654.83M,0.28%,77.80%,6.36M,1.80,2.40%,1.00
JOY,9.02,2.41B,9.74,1.66,0.69,0.88,6.40,7.68%,12.62%,5.07%,9.74%,3.52B,35.85,-12.80%,1.11B,579.70M,2.74,-47.70%,192.09M,1.97,1.28B,46.77,2.29,28.14,209.54M,164.03M,1.29,-59.21%,64.61,24.54,31.07,38.74,"2,160,860","2,327,210",97.45M,0.53%,111.50%,17.75M,8.90,3.00%,0.80
JPM,12.29,252.51B,10.55,1.84,2.79,1.17,N/A,25.05%,36.69%,0.91%,9.70%,90.70B,24.32,-3.70%,91.07B,N/A,5.54,5.10%,1.01T,273.38,648.92B,N/A,N/A,58.33,N/A,N/A,1.25,20.83%,70.61,54.26,68.38,63.75,"14,176,600","11,181,100",3.71B,0.53%,75.80%,39.87M,2.50,2.60%,1.64
JNPR,N/A,11.08B,13.30,1.17,2.42,2.57,12.00,-9.47%,16.19%,4.96%,-7.88%,4.52B,10.82,-0.60%,2.86B,902.90M,-1.02,-28.50%,1.85B,4.74,1.95B,45.87,1.55,10.90,697.70M,521.15M,0.49,20.33%,29.13,18.41,26.82,25.30,"5,575,160","6,145,640",394.84M,2.95%,94.00%,10.72M,2.10,1.50%,0.40
KSU,21.57,10.59B,18.46,2.19,4.28,2.76,11.35,19.60%,32.60%,6.51%,12.28%,2.51B,22.75,-9.80%,1.70B,1.09B,4.45,-13.90%,50.90M,0.46,2.15B,51.12,0.75,35.19,907.20M,-32.03M,1.16,-14.03%,126.49,90.02,95.07,103.32,"1,695,790","1,229,240",110.36M,1.23%,90.90%,5.84M,4.40,1.40%,1.22
K,54.57,24.32B,18.28,4.47,1.69,9.55,18.07,3.15%,8.00%,4.65%,14.59%,14.39B,40.35,-5.00%,5.06B,1.67B,1.26,-44.10%,349.00M,0.99,7.73B,291.52,0.86,7.21,1.62B,720.50M,0.81,8.01%,69.89,58.83,64.53,64.35,"1,544,990","1,809,300",352.90M,0.27%,72.60%,8.36M,5.80,3.10%,1.96
