,Trailing P/E,Market Cap,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Avg Vol \(3 month\),Avg Vol \(10 day\),Shares Outstanding,\% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Forward Annual Dividend Yield,Trailing Annual Dividend Yield
PLL,35.59,13.53B,30.43,2.71,4.74,8.27,20.14,13.64%,19.31%,9.32%,22.51%,2.85B,26.36,-0.20%,1.43B,670.16M,3.56,8.40%,1.09B,10.25,1.17B,71.84,1.69,15.30,522.15M,426.72M,1.45,59.53%,126.70,78.99,125.51,111.20,"1,793,580","830,325",106.85M,0.20%,95.30%,1.10M,1.20,1.00%,0.92
PH,14.49,15.42B,14.18,1.68,1.18,2.99,8.48,8.66%,12.52%,8.05%,19.54%,13.09B,89.99,-5.80%,3.03B,1.96B,7.67,17.70%,2.03B,14.64,3.39B,65.76,2.09,37.15,1.36B,1.14B,1.73,-0.50%,133.41,99.82,113.83,119.16,"1,378,570","3,102,480",138.68M,0.79%,81.00%,8.92M,7.70,2.30%,2.37
PDCO,22.21,5.00B,18.22,2.08,1.13,3.25,11.93,5.10%,8.64%,8.13%,14.96%,4.38B,44.20,4.20%,1.24B,429.40M,2.24,15.90%,400.63M,4.05,726.26M,47.97,2.72,15.30,262.69M,201.77M,0.67,28.83%,51.49,38.59,49.14,48.77,"883,289","745,200",100.48M,17.42%,79.10%,4.06M,4.40,1.80%,0.84
PAYX,25.74,17.20B,21.74,2.49,6.27,9.62,13.89,24.64%,38.46%,10.25%,37.89%,2.74B,7.55,8.30%,2.74B,1.16B,1.85,10.50%,536.60M,1.49,0.00,N/A,1.12,4.94,895.20M,712.06M,1.13,14.50%,51.72,41.13,47.50,48.62,"1,970,350","2,681,290",361.21M,10.67%,68.00%,18.45M,9.00,3.60%,1.56
PYPL,N/A,47.74B,26.44,1.84,N/A,N/A,N/A,12.74%,16.00%,N/A,N/A,8.29B,N/A,14.00%,N/A,1.72B,N/A,N/A,2.38B,N/A,868.00M,10.05,1.34,0.00,2.34B,N/A,N/A,N/A,42.55,33.98,37.69,37.69,"15,515,500","11,165,600",1.22B,N/A,N/A,N/A,N/A,N/A,N/A
PNR,57.62,11.01B,14.45,1.82,1.64,2.41,12.34,2.93%,13.32%,5.03%,11.57%,6.70B,36.54,-9.40%,2.46B,1.14B,1.06,-8.50%,147.30M,0.82,3.27B,71.75,1.99,25.28,779.40M,578.10M,1.21,-10.56%,70.45,58.27,63.12,63.63,"1,343,870","874,625",180.06M,0.17%,79.40%,10.32M,5.90,2.10%,1.26
PBCT,20.00,4.94B,17.02,2.92,4.07,1.06,N/A,20.29%,36.05%,0.70%,5.30%,1.22B,4.06,-4.30%,N/A,N/A,0.82,-14.70%,566.60M,1.88,4.59B,N/A,N/A,15.51,N/A,N/A,0.68,12.46%,16.95,13.61,16.25,15.43,"3,440,980","4,271,320",302.11M,0.93%,75.40%,26.55M,7.50,4.10%,0.67
POM,30.87,6.80B,19.32,2.65,1.38,1.58,10.07,4.47%,13.80%,2.74%,5.00%,4.92B,19.56,3.10%,1.67B,1.25B,0.87,-29.30%,141.00M,0.56,6.09B,136.45,0.65,17.06,727.00M,-280.00M,0.28,-0.04%,27.65,24.00,26.83,26.82,"1,699,420","1,318,040",253.07M,0.24%,59.40%,6.73M,6.80,4.10%,1.08
PEP,22.91,145.58B,20.14,3.68,2.23,8.86,13.38,9.98%,15.10%,8.07%,32.79%,65.31B,43.84,-5.70%,35.80B,12.19B,4.33,0.10%,9.58B,6.52,31.46B,191.07,1.07,11.19,10.60B,6.84B,0.83,7.96%,100.76,89.82,96.19,96.26,"4,386,390","4,384,900",1.47B,0.09%,70.70%,9.12M,1.80,2.90%,2.67
PKI,35.38,5.80B,17.84,2.48,2.62,2.84,19.00,7.34%,10.39%,3.63%,8.14%,2.23B,19.83,-0.70%,1.00B,347.82M,1.45,17.90%,168.92M,1.49,1.02B,49.31,1.86,18.20,251.55M,192.38M,0.09,14.67%,54.45,38.96,52.28,50.25,"682,891","776,325",113.19M,0.97%,95.20%,3.18M,4.50,0.60%,0.28
PRGO,128.17,27.82B,21.49,1.96,6.53,2.76,24.71,4.82%,17.68%,3.11%,2.24%,4.22B,30.96,4.50%,1.28B,1.16B,1.48,N/A,3.45B,23.60,4.73B,49.36,4.00,68.08,1.03B,923.22M,0.55,33.72%,215.73,135.00,187.39,178.44,"1,156,150","1,122,050",146.26M,0.05%,77.30%,1.74M,1.50,0.30%,0.46
PFE,24.42,216.69B,14.97,3.03,4.41,3.22,10.82,18.69%,30.83%,5.69%,12.67%,49.12B,7.80,-4.30%,40.03B,20.28B,1.44,2.00%,27.71B,4.50,36.00B,53.26,2.44,10.93,14.63B,13.14B,0.87,24.57%,36.46,27.51,34.66,34.25,"22,391,900","25,256,300",6.16B,0.02%,49.70%,50.37M,2.20,3.30%,1.10
PCG,20.24,25.39B,14.03,3.54,1.46,1.59,8.98,7.25%,11.22%,2.06%,8.03%,17.10B,36.19,0.20%,4.88B,4.44B,2.61,-86.30%,145.00M,0.30,15.91B,99.70,0.98,32.75,3.99B,-1.51B,0.26,20.40%,60.21,43.73,51.08,52.98,"2,783,320","3,653,560",479.97M,0.05%,80.50%,6.40M,2.30,3.60%,1.82
PM,17.80,131.82B,17.95,2.87,4.66,N/A,12.67,26.11%,40.88%,21.12%,N/A,28.53B,18.38,-12.00%,19.33B,12.51B,4.78,1.90%,1.84B,1.19,29.20B,N/A,0.90,-8.49,N/A,N/A,1.16,0.88%,90.25,75.27,83.52,82.15,"3,777,160","2,603,110",1.55B,0.25%,0.60%,8.77M,2.30,4.70%,4.00
PSX,10.72,43.18B,11.25,1.48,0.33,1.98,9.66,3.23%,2.93%,4.74%,18.98%,129.29B,232.14,-47.00%,21.03B,4.80B,7.43,-37.20%,5.39B,9.95,8.95B,39.61,1.64,40.17,3.48B,-1.27B,1.58,-3.36%,87.98,57.33,80.36,78.19,"3,385,070","3,799,740",542.33M,0.05%,71.50%,12.43M,3.30,2.80%,2.06
PNW,17.51,6.94B,15.58,2.98,1.96,1.55,7.84,11.45%,23.12%,3.60%,9.40%,3.48B,31.38,-2.20%,1.40B,1.32B,3.58,2.30%,11.66M,0.11,3.71B,81.47,0.68,39.70,994.62M,-31.66M,0.66,17.33%,73.31,53.10,59.68,62.41,"852,489","817,688",110.75M,0.40%,80.20%,2.19M,2.30,4.00%,2.38
PXD,25.17,18.58B,116.34,-31.32,4.92,2.25,7.35,18.72%,41.22%,7.48%,10.80%,3.89B,26.76,-40.10%,2.93B,2.82B,4.95,N/A,383.00M,2.57,2.68B,31.55,1.46,56.99,2.00B,-1.15B,0.59,-40.39%,213.11,120.15,132.22,152.17,"2,082,280","2,269,950",149.30M,1.04%,92.30%,8.05M,3.60,0.10%,0.08
PBI,11.41,4.18B,9.68,5.70,1.12,77.30,7.30,9.79%,17.54%,6.49%,85.25%,3.77B,18.71,-5.00%,2.14B,857.89M,1.82,80.40%,913.43M,4.53,3.08B,875.37,1.05,0.27,653.80M,425.98M,1.55,-21.07%,27.50,20.12,21.01,22.42,"1,404,430","2,052,860",201.68M,1.02%,87.50%,20.69M,16.30,3.70%,0.75
PCL,32.15,7.23B,N/A,N/A,4.47,4.48,19.78,13.93%,23.37%,4.54%,13.27%,1.62B,9.19,27.10%,422.00M,516.00M,1.28,40.00%,94.00M,0.54,3.25B,201.11,0.45,9.21,551.00M,209.12M,0.80,-0.15%,45.26,38.70,40.94,42.33,"907,730","857,100",175.63M,0.34%,72.60%,9.19M,11.30,4.40%,1.76
PNC,13.48,50.46B,12.62,2.06,3.35,1.24,N/A,27.12%,36.68%,1.22%,9.04%,15.18B,29.05,2.80%,N/A,N/A,7.26,-0.90%,9.09B,17.61,58.28B,N/A,N/A,79.58,N/A,N/A,0.97,19.71%,100.52,76.69,97.65,93.98,"2,172,010","1,496,740",516.00M,0.25%,82.10%,7.25M,3.00,2.10%,1.98
RL,15.25,10.30B,15.31,2.46,1.36,2.67,7.87,9.21%,13.81%,10.78%,17.72%,7.62B,86.40,1.00%,4.38B,1.35B,7.88,-19.00%,1.14B,13.26,789.00M,20.28,2.80,45.09,894.00M,473.88M,0.96,-26.15%,187.49,119.00,130.60,136.37,"932,200","1,490,020",59.83M,1.08%,92.40%,3.71M,4.90,1.60%,1.90
PPG,25.88,28.25B,15.87,1.76,1.86,5.63,12.98,7.23%,12.64%,N/A,N/A,15.40B,56.20,0.40%,6.57B,2.43B,4.02,-12.70%,1.18B,4.32,4.64B,90.04,N/A,18.68,N/A,N/A,1.23,4.35%,118.95,85.78,111.89,113.69,"1,642,390","1,584,900",271.85M,5.29%,72.10%,2.78M,2.00,1.40%,1.39
PPL,10.50,21.62B,14.13,7.89,1.59,1.53,8.06,15.35%,27.26%,4.74%,14.25%,13.47B,20.33,165.10%,7.67B,5.12B,3.08,104.70%,1.47B,2.20,22.22B,158.31,0.79,21.02,3.14B,-1.02B,0.64,-1.94%,38.14,29.32,30.82,33.00,"4,700,510","3,759,000",668.11M,0.03%,39.30%,11.65M,2.30,4.90%,1.49
PX,20.03,32.62B,17.60,2.54,2.72,6.51,10.92,13.85%,22.26%,8.42%,26.84%,12.00B,41.22,-8.90%,5.31B,3.83B,5.65,-7.10%,117.00M,0.41,9.40B,168.90,1.17,17.41,2.84B,1.35B,0.82,-11.99%,134.06,111.54,117.27,121.77,"1,360,220","1,650,460",288.31M,0.13%,1.70%,6.71M,5.60,2.50%,2.73
PCP,18.18,26.70B,13.63,1.52,2.68,2.46,10.26,15.29%,26.18%,8.61%,13.84%,10.00B,70.16,-0.50%,3.25B,2.94B,10.67,-72.10%,474.00M,3.43,4.59B,41.85,2.11,78.86,1.70B,1.30B,1.20,-17.07%,249.12,186.17,196.62,206.57,"1,316,910","995,838",137.73M,0.24%,92.30%,3.22M,2.40,0.10%,0.12
PCLN,28.74,68.29B,19.14,1.27,8.11,8.12,19.05,28.05%,35.40%,13.83%,30.61%,8.64B,165.41,12.10%,7.58B,3.29B,45.84,0.60%,4.64B,89.42,5.30B,61.46,3.50,166.49,2.95B,2.40B,1.66,0.62%,"1,395.00",990.69,"1,194.62","1,174.27","612,889","912,700",51.84M,0.48%,95.30%,1.31M,2.40,N/A,N/A
PFG,14.27,16.28B,11.63,1.23,1.44,1.57,8.64,10.53%,14.35%,N/A,N/A,11.39B,38.68,30.70%,5.25B,1.81B,3.87,-20.70%,3.53B,11.97,3.09B,29.26,N/A,35.40,N/A,N/A,1.85,9.41%,56.57,46.01,53.08,51.61,"1,250,440","1,217,950",294.68M,0.27%,64.90%,5.36M,4.10,2.80%,1.42
PG,23.96,204.78B,17.35,2.66,2.55,3.33,12.46,11.28%,19.84%,7.29%,16.84%,80.64B,29.76,-7.60%,40.60B,19.14B,3.15,-17.50%,13.16B,4.85,32.44B,51.18,0.99,22.72,15.13B,9.57B,1.00,-7.36%,93.89,75.25,79.72,81.97,"8,152,110","11,989,900",2.71B,0.05%,21.50%,19.84M,2.40,3.30%,2.61
PGR,13.65,18.03B,15.44,1.52,0.89,2.43,8.66,6.59%,10.39%,4.77%,18.25%,20.11B,34.22,11.40%,2.09B,2.19B,2.24,23.80%,1.67B,2.85,2.74B,35.15,0.77,12.56,N/A,N/A,1.00,29.04%,31.42,23.65,29.59,27.60,"3,921,520","2,997,380",589.90M,8.72%,80.50%,21.00M,5.70,2.20%,0.69
PLD,20.38,21.63B,N/A,N/A,10.67,1.46,28.06,51.97%,24.08%,1.08%,6.54%,2.00B,3.92,14.70%,1.33B,1.18B,2.00,74.80%,351.02M,0.67,12.12B,66.04,0.94,27.95,N/A,N/A,0.67,1.04%,47.56,37.03,39.27,41.58,"2,851,370","2,390,100",530.64M,1.05%,102.80%,5.42M,1.80,4.00%,1.38
PRU,19.01,40.50B,8.56,0.92,0.67,0.91,3.29,3.56%,11.92%,0.60%,5.28%,61.28B,133.62,26.00%,20.54B,8.07B,4.70,64.50%,57.68B,127.33,44.46B,97.55,1.37,99.32,22.94B,12.99B,1.35,2.55%,94.30,74.51,88.73,83.89,"2,323,450","2,389,820",453.00M,0.18%,66.10%,4.94M,2.00,2.60%,2.27
PEG,12.56,21.47B,14.58,5.26,1.95,1.68,6.61,15.91%,26.14%,5.10%,14.11%,10.80B,21.34,-2.70%,3.85B,4.28B,3.38,51.80%,1.02B,2.02,9.08B,72.34,1.15,24.83,3.72B,149.62M,0.65,19.45%,44.45,35.24,40.68,41.47,"3,127,620","3,312,040",505.86M,0.14%,67.90%,12.28M,4.00,3.90%,1.52
PSA,38.18,36.10B,22.21,3.69,15.40,7.02,23.44,51.45%,51.53%,7.71%,13.06%,2.33B,13.51,8.60%,1.58B,1.64B,5.47,24.00%,152.80M,0.88,58.66M,0.62,0.55,29.54,1.65B,1.44B,0.27,20.21%,209.57,162.34,196.38,195.68,"656,739","564,738",172.90M,14.44%,80.30%,2.36M,3.40,3.40%,5.90
PHM,14.14,6.96B,12.74,2.44,1.20,1.52,10.39,8.85%,12.77%,5.60%,11.16%,5.83B,16.04,-0.50%,1.38B,787.16M,1.40,146.70%,466.11M,1.32,1.77B,38.35,2.62,12.98,43.86M,-223.10M,1.55,9.54%,23.36,16.56,20.26,20.81,"5,264,910","4,443,850",352.79M,10.21%,83.00%,14.35M,2.90,1.60%,0.29
PVH,18.30,9.41B,14.99,2.30,1.17,2.14,12.93,6.35%,8.78%,4.00%,11.61%,8.16B,98.87,-4.30%,4.33B,961.40M,6.22,223.20%,419.30M,5.07,3.50B,78.74,2.23,53.76,900.90M,395.26M,0.41,-1.17%,130.00,93.80,114.85,108.93,"860,544","664,938",82.69M,0.25%,101.80%,3.01M,3.40,0.10%,0.15
QRVO,24.74,7.80B,9.58,0.80,N/A,N/A,21.59,11.47%,15.08%,4.13%,5.73%,1.71B,18.91,148.00%,689.31M,474.97M,2.11,N/A,544.64M,3.65,0.00,N/A,4.61,0.00,305.62M,-198.09M,1.48,N/A,88.35,50.80,73.81,74.38,"3,108,720","4,500,000",149.38M,N/A,N/A,3.34M,1.10,N/A,N/A
PWR,17.52,5.01B,11.94,2.23,0.62,1.15,8.24,3.71%,6.16%,5.13%,7.31%,7.98B,36.46,7.10%,1.23B,692.58M,1.35,-1.70%,135.53M,0.64,124.44M,2.89,2.12,20.29,560.58M,71.62M,1.11,-31.76%,37.49,22.68,27.93,28.54,"2,334,390","4,096,100",204.50M,1.08%,91.90%,3.85M,1.70,N/A,N/A
QCOM,17.24,99.02B,13.44,2.11,3.72,2.99,9.50,23.02%,29.84%,9.83%,16.95%,26.52B,16.10,-14.30%,15.80B,9.10B,3.66,-47.10%,21.33B,13.58,10.91B,32.87,4.26,21.04,5.44B,4.83B,1.44,-15.67%,78.53,60.83,63.76,67.87,"12,367,200","10,900,700",1.57B,0.17%,80.80%,47.49M,3.80,3.10%,1.74
DGX,21.22,10.40B,14.17,1.56,1.41,2.47,9.59,6.60%,15.42%,7.47%,12.60%,7.55B,52.08,1.20%,2.80B,1.48B,3.41,-11.30%,150.00M,1.04,3.74B,86.00,1.23,29.96,901.00M,695.50M,0.02,18.56%,89.00,56.27,72.73,73.13,"1,404,770","814,412",143.64M,0.36%,103.00%,11.53M,10.10,2.10%,1.42
RRC,9.56,5.94B,893.00,4.67,3.54,1.80,6.46,35.41%,53.17%,7.24%,21.20%,1.78B,10.78,-43.80%,1.44B,1.59B,3.74,-14.90%,519.00K,0.00,3.26B,93.48,0.84,21.05,983.55M,-574.59M,1.45,-52.50%,79.38,35.56,44.57,51.68,"3,773,920","5,875,240",166.20M,2.42%,94.70%,14.12M,3.90,0.40%,0.16
RTN,15.60,33.03B,15.48,2.01,1.46,3.30,10.30,9.46%,13.05%,6.77%,19.16%,22.75B,75.04,2.60%,5.53B,3.34B,6.97,-8.30%,2.49B,8.22,5.33B,50.32,1.54,33.12,1.77B,1.54B,0.69,19.05%,113.36,91.18,101.61,105.37,"1,855,390","2,030,680",303.55M,0.48%,78.30%,4.42M,2.40,2.60%,2.55
O,43.94,11.04B,16.65,4.06,11.53,2.05,19.00,29.23%,48.78%,2.71%,5.11%,958.80M,4.30,11.40%,879.63M,858.17M,1.08,16.70%,12.19M,0.05,5.03B,88.60,0.77,23.15,631.35M,522.35M,0.29,8.63%,55.54,40.56,46.50,48.81,"1,712,160","1,876,040",232.54M,0.51%,66.50%,18.78M,10.80,4.80%,2.24
RHT,76.82,14.24B,35.92,2.76,7.71,10.56,40.09,10.32%,14.84%,5.01%,13.26%,1.85B,9.98,13.50%,1.52B,349.85M,1.01,27.40%,1.18B,6.45,720.00M,53.36,1.37,7.36,666.87M,435.33M,0.93,31.13%,81.49,52.53,78.46,73.96,"1,185,720","814,088",183.48M,10.93%,84.90%,3.82M,2.50,N/A,N/A
REGN,185.77,60.94B,39.26,2.10,19.44,20.04,55.81,11.61%,30.37%,15.59%,13.73%,3.06B,30.18,39.00%,2.61B,987.60M,3.12,11.30%,742.16M,7.26,472.48M,15.90,4.31,29.07,602.13M,475.92M,1.03,70.90%,605.93,320.06,538.80,477.76,"735,956","824,812",103.28M,24.66%,74.90%,4.49M,7.20,N/A,N/A
RF,14.65,14.14B,11.93,2.23,2.82,0.88,N/A,21.22%,30.34%,0.89%,6.28%,4.99B,3.68,N/A,N/A,N/A,0.73,-5.00%,3.86B,2.90,5.45B,N/A,N/A,12.06,N/A,N/A,1.27,9.26%,10.87,8.59,10.39,9.89,"16,180,900","15,719,900",1.33B,0.35%,73.20%,14.64M,1.00,2.30%,0.21
RSG,25.25,14.86B,19.27,3.83,1.67,1.93,9.20,6.68%,15.06%,4.16%,7.67%,8.96B,25.34,3.70%,3.16B,2.37B,1.69,6.30%,99.90M,0.29,7.55B,97.27,0.75,22.22,1.71B,801.29M,0.68,10.68%,43.35,37.18,40.76,40.59,"1,387,300","1,530,750",348.92M,27.80%,70.90%,8.42M,7.40,2.90%,1.12
RAI,30.77,61.57B,18.69,1.59,5.39,10.25,15.72,17.41%,32.79%,11.13%,31.39%,8.59B,16.16,6.30%,4.41B,2.91B,2.80,7.20%,1.62B,3.04,5.08B,112.39,0.94,8.49,1.79B,1.46B,1.00,49.95%,88.28,56.27,79.60,74.64,"3,416,040","3,236,760",714.55M,42.69%,45.50%,10.30M,3.20,3.40%,2.68
RHI,22.32,7.54B,17.78,1.32,1.50,7.53,11.18,6.84%,11.14%,N/A,N/A,4.92B,36.95,9.20%,1.92B,599.74M,2.50,19.40%,260.89M,1.97,1.27M,0.13,N/A,7.40,N/A,N/A,0.99,11.80%,63.27,45.30,55.66,58.12,"864,989","1,117,910",135.08M,4.06%,92.50%,1.90M,2.70,1.50%,0.76
ROK,18.42,15.60B,16.53,2.12,2.39,6.10,11.13,13.25%,18.68%,12.31%,32.67%,6.56B,48.07,-3.10%,2.75B,1.37B,6.29,14.30%,2.04B,15.14,1.51B,58.68,3.16,19.07,1.18B,907.62M,1.22,1.91%,127.05,98.55,121.39,118.04,"842,900","978,825",134.58M,0.58%,77.20%,6.79M,8.70,2.20%,1.95
COL,17.20,11.28B,15.62,1.62,2.16,5.54,11.23,12.71%,18.99%,8.62%,34.08%,5.26B,39.61,2.30%,1.51B,1.20B,4.98,12.70%,294.00M,2.20,2.41B,117.37,1.44,15.38,734.00M,708.25M,0.68,16.23%,99.37,72.35,90.22,92.77,"857,244","862,388",131.77M,0.41%,0.10%,5.12M,7.30,1.50%,0.93
ROP,25.97,16.91B,22.93,1.87,4.69,3.49,15.77,18.28%,28.70%,7.48%,14.29%,3.58B,35.76,3.70%,2.10B,1.22B,6.48,5.80%,615.49M,6.12,2.63B,54.61,2.18,47.83,888.21M,876.68M,0.65,14.66%,178.92,137.34,172.43,169.78,"363,884","369,750",100.52M,1.58%,95.00%,1.46M,4.10,0.60%,0.95
ROST,22.89,21.96B,19.51,1.79,1.95,9.44,11.86,8.52%,13.78%,21.42%,43.69%,11.30B,27.49,9.60%,3.10B,1.80B,2.32,15.70%,761.86M,1.85,395.68M,16.96,1.36,5.67,1.28B,651.09M,1.62,60.04%,55.22,32.40,51.59,50.53,"2,335,380","1,632,790",413.79M,2.05%,90.90%,6.38M,2.90,0.90%,0.44
RCL,25.94,20.05B,15.20,0.81,2.47,2.48,15.39,9.78%,11.84%,2.89%,9.35%,8.00B,36.17,-3.80%,2.77B,1.73B,3.52,71.00%,229.71M,1.05,8.64B,108.35,0.22,36.26,1.85B,-224.12M,0.61,50.01%,91.38,52.32,82.97,78.45,"1,993,460","2,630,680",219.91M,25.22%,58.10%,8.22M,4.40,1.50%,1.20
R,20.65,4.82B,12.36,1.13,0.74,2.55,5.62,3.55%,9.55%,3.93%,12.13%,6.57B,125.01,-1.30%,1.38B,1.68B,4.38,13.30%,73.40M,1.38,4.85B,253.63,0.96,35.91,N/A,N/A,1.55,4.72%,100.64,77.14,90.33,92.92,"674,284","828,488",53.31M,1.90%,46.20%,3.26M,5.40,1.90%,1.48
CRM,N/A,46.16B,74.90,3.33,8.17,10.91,205.43,-2.86%,-1.69%,-0.63%,-4.39%,5.66B,8.92,23.20%,4.08B,241.01M,-0.26,N/A,1.02B,1.55,2.04B,48.14,0.66,6.46,1.43B,874.08M,1.29,28.32%,78.46,51.04,72.13,68.42,"3,653,600","2,232,120",655.56M,7.29%,96.20%,14.45M,4.40,N/A,N/A
SNDK,23.22,12.35B,13.69,2.19,2.01,2.17,7.99,9.66%,16.92%,6.44%,9.15%,6.05B,28.22,-24.30%,3.07B,1.64B,2.56,-70.40%,1.76B,8.53,2.11B,37.62,1.71,27.19,1.41B,1.02B,2.20,-35.69%,106.64,53.18,58.70,69.60,"3,809,400","2,610,580",207.92M,0.25%,96.10%,17.28M,4.00,1.90%,1.20
SCG,10.71,8.01B,14.48,3.47,1.66,1.48,9.75,15.68%,21.22%,3.97%,14.70%,4.75B,33.37,-12.60%,1.62B,1.46B,5.23,107.30%,31.00M,0.22,6.60B,124.00,0.83,37.26,787.00M,-459.52M,0.38,13.37%,65.57,47.77,52.82,54.84,"917,409","798,862",142.92M,10.00%,53.00%,7.53M,7.50,4.10%,2.14
SLB,24.44,104.08B,21.31,3.58,2.37,2.79,8.91,9.77%,18.58%,7.79%,11.17%,44.54B,34.80,-25.30%,11.18B,12.46B,3.37,-29.50%,7.27B,5.75,13.36B,34.99,1.66,30.00,10.85B,7.63B,1.15,-24.69%,112.00,75.60,84.31,86.65,"6,803,690","6,290,520",1.27B,0.06%,79.50%,14.89M,1.80,2.40%,1.80
SNI,15.04,7.55B,12.09,1.26,2.81,6.39,8.12,20.18%,39.18%,16.02%,37.08%,2.68B,19.49,2.30%,1.89B,1.18B,3.91,-3.50%,154.79M,1.21,1.84B,121.03,4.30,9.17,834.04M,1.31B,1.26,-25.03%,82.78,53.87,64.28,68.79,"1,323,880","2,317,810",94.12M,23.69%,72.10%,15.03M,14.40,1.50%,0.86
STX,8.59,15.71B,9.86,1.57,1.15,5.12,6.48,13.64%,11.91%,11.23%,66.05%,14.11B,43.22,-2.20%,3.85B,2.52B,5.76,-26.30%,2.61B,8.22,3.93B,123.19,1.92,10.03,3.00B,1.25B,2.20,-13.18%,69.40,44.46,49.11,55.02,"4,179,430","5,611,140",317.38M,4.79%,87.00%,30.64M,6.50,4.60%,2.16
SEE,41.62,11.62B,21.18,1.52,1.50,10.01,13.26,3.71%,10.77%,6.29%,21.63%,7.67B,36.42,-4.40%,2.69B,1.08B,1.33,37.10%,536.30M,2.55,4.35B,378.21,1.68,5.46,1.05B,723.08M,1.51,66.28%,55.70,29.85,52.27,47.71,"2,010,920","2,754,090",210.17M,10.02%,84.50%,7.78M,3.50,1.00%,0.52
SRE,18.93,25.21B,19.55,2.71,2.27,2.16,12.10,12.37%,18.44%,3.27%,12.02%,10.92B,44.31,-4.00%,3.35B,3.19B,5.38,76.90%,398.00M,1.61,14.28B,116.31,0.97,46.44,2.07B,-1.07B,0.46,0.88%,116.30,98.34,101.04,106.42,"1,095,590","1,233,700",247.58M,5.73%,71.10%,3.18M,2.50,2.80%,2.72
SHW,27.47,25.11B,20.81,1.38,2.22,33.10,17.18,8.32%,12.21%,13.82%,82.40%,11.30B,120.78,2.90%,5.16B,1.58B,9.80,20.10%,75.07M,0.81,2.29B,301.74,0.90,8.21,1.10B,893.83M,0.78,28.97%,294.35,202.01,276.48,281.76,"756,739","709,612",93.21M,14.81%,76.80%,1.20M,1.90,1.00%,2.44
SIAL,33.56,16.71B,29.96,5.61,6.03,5.27,18.91,18.04%,25.90%,11.27%,16.36%,2.77B,23.25,-1.90%,1.42B,849.00M,4.16,N/A,946.00M,7.91,300.00M,9.47,5.94,26.47,621.00M,444.75M,0.13,36.71%,140.03,99.08,139.51,138.70,"1,112,860","1,213,200",119.66M,0.22%,81.80%,1.02M,0.90,0.70%,0.92
SIG,23.92,9.64B,15.08,0.88,1.50,3.33,13.91,6.28%,10.24%,8.01%,14.58%,6.43B,80.43,44.90%,2.07B,789.00M,5.03,23.00%,122.60M,1.53,1.40B,48.47,3.74,36.06,276.50M,-584.70M,1.56,14.59%,140.98,102.06,124.39,128.00,"878,594","554,425",80.13M,0.02%,92.10%,764.28K,1.20,0.70%,0.80
SPG,39.92,59.31B,17.85,2.31,11.59,13.43,21.06,29.34%,50.31%,5.28%,30.90%,5.10B,16.40,14.10%,3.99B,3.78B,4.80,16.30%,565.66M,1.82,22.07B,424.06,0.43,14.14,N/A,N/A,0.21,14.07%,206.31,162.43,180.98,187.10,"1,263,200","1,103,020",309.42M,0.81%,97.90%,4.26M,3.00,3.40%,5.50
SWKS,23.08,16.89B,14.27,0.81,5.28,5.37,15.60,24.03%,30.37%,18.93%,27.40%,3.10B,16.37,38.00%,1.02B,1.12B,3.83,86.20%,1.11B,5.82,0.00,N/A,5.70,16.01,N/A,N/A,0.53,69.53%,112.88,44.06,100.06,95.90,"3,942,720","6,120,700",191.10M,0.48%,77.60%,6.69M,1.80,1.10%,0.65
SLG,377.48,11.32B,16.71,3.08,7.07,1.64,23.50,9.00%,28.76%,1.70%,1.22%,1.60B,16.42,8.80%,1.02B,831.33M,0.30,N/A,215.90M,2.17,8.23B,101.81,3.41,69.23,N/A,N/A,0.70,5.38%,135.81,99.89,113.78,122.34,"666,073","567,462",99.59M,0.83%,106.80%,3.66M,4.90,2.10%,2.30
SJM,33.08,13.17B,17.44,2.36,2.35,1.89,16.24,6.06%,15.49%,4.25%,5.69%,5.69B,55.25,17.20%,1.97B,1.15B,3.33,N/A,125.60M,1.05,6.17B,87.08,2.01,59.27,733.20M,240.29M,1.21,6.75%,120.65,95.60,109.55,112.96,"800,167","854,562",119.67M,4.99%,68.90%,4.24M,4.30,2.50%,2.56
SNA,21.79,9.66B,18.29,2.07,2.70,4.19,12.68,12.61%,20.40%,10.57%,20.10%,3.57B,61.51,3.70%,1.73B,795.90M,7.62,13.10%,124.40M,2.14,922.40M,39.82,2.57,39.56,423.60M,411.20M,1.08,36.40%,169.07,111.28,161.97,151.45,"327,008","321,950",58.17M,0.75%,85.70%,1.19M,3.00,1.30%,2.03
